,Title,Year,Page Number,Subject
64,"  Report on the transport of British prisoners of war to Germany. August-December, 1914.",1918,6.0,Transportation
66,  The Inland Water Transport in Mesopotamia. Compiled by Lieut.-Col. L. J. Hall ... under the direction of Brigadier-General R. H. W. Hughes. [With plates.],1921,6.0,Transportation
67,"  By the King, a proclamation, for the encouragement of piety and virtue, and for the preventing and punishing of vice, prophaneness, and immorality.",1760,6.0,Transportation
68,"  By the King, a proclamation, requiring passes, formerly granted to ships and vessels trading in the way of the cruizers belonging to the governments on the coast of Barbary, to be returned into the Office of the Admiralty of Great Britain, and other passes of different forms to be issued",1765,6.0,Transportation
69,"  By the King, a proclamation, for the encouragement of piety and virtue, and for preventing and punishing of vice, profaneness, and immorality.",1787,6.0,Transportation
71,  To the Minister of Transport : proposals of the Government as to the future organisation of transport undertakings in Great Britain and their relation to the State,1920,7.0,Transportation
72,  Canadian transportation : free canals and the fast line,1898,7.0,Transportation
73,  New and important arrangement : Canadian Inland Steam Navigation Company's royal mail through line for Darlington .,1862,7.0,Transportation
74,  London traffic! : the menace of monopoly,1928,7.0,Transportation
75,  Notes on mule management and pack transport.,1903,7.0,Transportation
76,"  Adaptation of railways for military transport : progress report, 1877.",1877,7.0,Transportation
77,"  ""Transport up-to-date,"" being a complete guide to packing and loading drill, with a few practical hints on transport organization and management generally",1904,7.0,Transportation
78,  Transport--native troops. Instructions for guidance of despatching officers and officers commanding native corps in Burma.,1893,7.0,Transportation
79,"  ""Transport up-to-date."" Being a complete guide to packing and loading drill as carried out in the Peshawar District, with a few practical hints on transport organization and management generally.",1903,7.0,Transportation
81,"  The employment of the people and the capital of Great Britain in her own colonies : at the same time assisting emigration and penal arrangements by undertaking a great national work ... all this fully explained in a letter from Major Robert Carmichael-Smyth to his friend the author of ""The clockmaker"" : containing thoughts on the subject of a British colonial railway communication between the Atlantic and the Pacific .",1849,8.0,Transportation
82,"  Copy of letter to His Excellency Sir Benjamin D'Urban, G.C.B., K.C.H., commanding the forces in Canada",1847,8.0,Transportation
83,"  Report to the Hon. J.H. Pope, Acting Minister, Department of Railways and Canals, on the necessity of deepening the Welland Canal : and on transportation, commerce and canal tolls, affecting the St. Lawrence water-route to the sea-board",1884,8.0,Transportation
84,  The Inland route to the Yukon.,1897,8.0,Transportation
85,  On the commercial importance of Hudson's Bay : with remarks on recent surveys and investigations,1881,8.0,Transportation
86,"  Correspondence with His Grace the Duke of Newcastle, the Hudson's Bay Company, and the delegates from Canada : (with other documents) in reference to the establishment of overland passenger and telegraphic communication between the Atlantic and British Columbia and the Pacific.",1863,8.0,Transportation
87,"  New and important arrangement : Royal Mail through line for Kingston, Cobourg, Port Hope, Darlington, Toronto and Hamilton.",1857,8.0,Transportation
88,"  The coaches ouerthrow. Or, A ioviall exaltation of divers tradesmen, and others, for the suppression of troublesome hackney coaches. To the tune of, Old King Harry.",1636,8.0,Transportation
89,"  Quebec labor question : copy of correspondence between the council of the Quebec Board of Trade and the Quebec Ship Laborers' Benevolent Society, and other data relative to the rules and regulations of the society.",1888,8.0,Transportation
90,"  Description of the Madras Artillery mountain train, and its equipment, with beds and carriages of a new pattern, the invention of Captain A.F. Oakes, H.A., Director Artillery Depot of Instruction reported by the Madras Artillery Select Committee in September and October, 1851, ""In every respect complete, and well suited for General Service,"" after being subjected to an extraordinary proof which the beds and carriages stood uninjured.",1851,9.0,Transportation
91,"  Red Line Transportation Company : Skagway, White Pass Summit, log cabin, Bennett.",1899,9.0,Transportation
92,  Letters on the necessity of cheapening transport between the west and the ocean : addressed to the Milwaukee Sentinel and Chicago Tribune,1848,9.0,Transportation
93,"  Illinois and Michigan canal enlargement. April 28, 1862. -- Laid on the table, and ordered to be printed.",1862,9.0,Transportation
94,"  Regulating granting of passes on the Alaska Railroad. February 8, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,9.0,Transportation
95,  American and Indian transit.,1859,9.0,Transportation
96,"  The law of the road, or, The wrongs and rights of a traveller",1881,9.0,Transportation
97,"  Ship canal. Falls St. Marie. Resolutions of the Legislature of Ohio, asking an appropriation for the construction of a ship canal at the falls of St. Marie. March 4, 1852. Laid upon the table, and ordered to be printed.",1852,9.0,Transportation
98,"  Steam boilers. Memorial of the owners of steamboats and others, of Louisville, Kentucky, on the subject of explosions of steam boilers. December 20, 1838. Referred to select committee on steam engines. January 16, 1839. Ordered to be printed.",1839,9.0,Transportation
99,"  Catskill Creek. Petition of inhabitants of New York, for the improvement of the Catskill Creek. January 7, 1839. Referred to the Committee on Commerce.",1839,9.0,Transportation
100,"  Authorizing the Shipping Board to give preferential rate to alien veterans and their families. June 16, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,10.0,Transportation
101,"  Regulating granting of passes on the Alaska Railroad. March 20, 1926. -- Ordered to be printed.",1926,10.0,Transportation
103,"  Report of the Secretary of War, of the terms on which contracts have been made for the transportation of the troops ordered on the expedition to the Mandan villages, made in obedience to a resolution of the House of Representatives of the 10th instant. January 19, 1820. Read, and ordered to lie on the table.",1820,10.0,Transportation
104,"  Consolidation of railway properties. April 5 (calendar day, April 13), 1926. -- Ordered to be printed.",1926,10.0,Transportation
105,"  In Senate of the United States. December 19, 1844. Submitted, and ordered to be printed. Mr. Woodbridge made the following report : (To accompany Bill S. 3.) The Committee on Public Lands, to whom was referred ""A Bill To Grant Certain Lands to the State of Indiana, the Better To Enable the Said State To Extend and Complete the Wabash and Erie Canal from Terre Haute to the Ohio River,"" ask leave to report ...",1844,10.0,Transportation
107,  River transport of wood & bamboos in Mysore,1918,10.0,Transportation
109,"  By authority!!! V.R. ... Positively for one night only, in the [blank] ... a returned convict will deliver his highly-popular and national lecture on the horrors of transportation!! ... The lecturer will appear in the character of a Norfolk Island convict, in full costume! Wearing the convict dress in double chains ...",1849,10.0,Transportation
110,"  By request of the respectable inhabitants of Wolverhampton, the lecture on transportation will be again delivered in the Athenæum, Queen-street, on Thursday evening, February 8th., 1849 ...",1849,11.0,Transportation
111,"  Central Canadian waterways transit system : proposed utilization of the main waterways of the four great interior basins of Canada by adding requisite ""divide"" railway facilities for improved transit thereon",1898,11.0,Transportation
112,  Waterways : a part of the Pittsburgh Plan,1923,11.0,Transportation
113,"  Hudson's Bay route : interesting and instructive lecture by E.P. Leacock, Esq., M.P.P : evidence from history as to the navigability of the bay and straits.",1884,11.0,Transportation
114,"  The Montreal, Ottawa and Georgian Bay Canal.",1896,11.0,Transportation
115,  Transportation by railway and ship-canals.,1880,11.0,Transportation
116,"  Memorial of Lysander Spooner, praying to be allowed to improve the navigation of the Maumee River, by means of slack water, &c. January 21, 1839. Referred to the Committee on Roads and Canals, and ordered to be printed.",1839,11.0,Transportation
118,"  Important to visitors. Popular excursions during the season. Established 1870. Sugden's waggonettes run daily, (weather permitting) from the White Hart Hotel Stables, Low Harrogate, to the following places of interest, viz. : on Mondays, Tuesdays, and Fridays, to Studley Park, Fountains Abbey & Ripon, leaving at 10 a.m., and returning from Studley Park at 2.30., and Ripon at 4 p.m., precisely. Fares 4s. there and back. Box seats, 6d. Extra. On Tuesdays and Saturdays to Brimham Rocks ... On Wednesdays and Saturdays to Knaresborough ... Also to Plumpton Rocks ... On Thursdays, to Harewood Park ... And on Fridays, to Ripley Castle ... Bolton Abbey by special arrangements. Tickets may be secured at the booking office, White Hart Yard, Low Harrogate, the day previous ... Special arrangements for pic-nic or other parties to any of the above places. Private carriages and waggonettes for hire. No business done on Sundays ... S. Sugden, Proprietor.",1878,11.0,Transportation
120,"  Demurrage on undelivered C.O.D. parcels. February 3, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,12.0,Transportation
122,"  In Senate of the United States. January 4, 1841. Submitted, and ordered to be printed. Mr. Hubbard made the following report : The Committee of Claims, to whom was referred the petition of Thomas C. Clark & Co., asking remuneration for the use and detention of a certain steamboat (of which they were the owners) while the same was in the service of the United States ...",1841,12.0,Transportation
123,"  Memorial of the Mayor and City Council of the City of Baltimore, praying that the usual annual appropriation for the improvement of the harbor of said city may be continued. February 25, 1839. Referred to the Committee on Commerce, and ordered to be printed.",1839,12.0,Transportation
126,"  Pittsburg and Connellsville Railroad. (To accompany Bill H.R. No. 555.) July 2, 1862. -- Ordered to be printed.",1862,12.0,Transportation
127,"  Elimination of the Michigan Avenue grade crossing in the District of Columbia. February 21, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,12.0,Transportation
128,"  Return to an address of the House of Commons dated 30th March 1871 : report of Mr. S.J. Dawson, upon the Red River expedition of 1870.",1871,12.0,Transportation
129,"  Improvement of harbor at Erie, Pennsylvania. (To accompany Bill H.R. No. 169.) July 3, 1862. -- Ordered to be printed.",1862,12.0,Transportation
130,  Prospectus of a new agrarian system,1840,13.0,Transportation
131,"  Further development of the American merchant marine. March 3, 1927. -- Ordered to be printed.",1927,13.0,Transportation
132,"  Cattle ships, and our meat supply",1899,13.0,Transportation
134,"  Light-house Minot's Ledge. Resolutions of the Legislature of Massachusetts, relating to the erection of a light-house on Minot's Ledge. May 5, 1852. Referred to the Committee on Commerce, and ordered to be printed.",1852,13.0,Transportation
136,"  To punish counterfeiting of government transportation requests. February 6, 1926. -- Referred to the House Calendar and ordered to be printed.",1926,13.0,Transportation
137,"  Canal -- Connecticut River to Lake Memphremagog, &c. Letter from the Secretary of War, transmitting a report and survey of a canal from Connecticut River to Lake Memphremagog, and the report of a survey from the same river to Lake Champlain. February 10, 1829. -- Read, and laid upon the table.",1829,13.0,Transportation
138,"  Appropriation for Indian supplies. Message from the President of the United States transmitting a deficiency estimate of appropriation for the Department of the Interior, Bureau of Indian Affairs, for the fiscal years 1923, 1924, and 1926, amounting in the aggregate to $ 96,303.11. January 6, 1927. -- Referred to the Committee on Appropriations, and ordered to be printed.",1927,13.0,Transportation
139,"  Report of the Secretary of War, communicating, in compliance with a resolution of the Senate, information in relation to the examination and survey of the route for a canal across the peninsula of Florida. July 17, 1854. -- Referred to the Committee on Commerce. July 26, 1854. -- Ordered to be printed.",1854,13.0,Transportation
141,"  Road from Saginaw to Michilimackinac and Saut Ste. Marie. Resolutions of the Legislature of Michigan, relative to the construction of a road from Saginaw to Michilimackinac and the Saut Ste. Marie. December 31, 1849. Laid upon the table, and ordered to be printed.",1849,14.0,Transportation
142,"  Payment of claims in admiralty arising from operation of Army Transport Service. January 16 (calendar day, January 30), 1926. -- Ordered to be printed.",1926,14.0,Transportation
143,"  Colbert's Shoals, Tennessee River. Letter from the Secretary of War, transmitting a report in reference to the removal of obstructions at Colbert's Shoals, in the Tennessee River. February 9, 1854. -- Referred to the Committee on Commerce.",1854,14.0,Transportation
144,"  June, 1881. Patronized by Her Majesty the Queen. The East Yorkshire Cart & Waggon Company Limited, Agricultural Engineers, Ironfounders, &c., Beverley, Yorkshire. London representative: Mr. Joseph Bernays, 96, Newgate Street, E.C. Delivery Vans.",1881,14.0,Transportation
145,"  Resolutions of the General Assembly of North Carolina, to obtain an appropriation for opening an inlet at or near Nag's Head, on the coast of that state. January 18, 1839. Laid on the table, and ordered to be printed.",1839,14.0,Transportation
146,"  Raritan ordnance reserve depot, New Jersey. Communication from the President of the United States transmitting supplemental estimates of appropriations for the fiscal year ending June 30, 1927, for the War Department, amounting in all to $ 2,338,233, for the removal of high explosive ammunition from the Raritan ordnance reserve depot, New Jersey. February 11, 1927. -- Referred to the Committee on Appropriations, and ordered to be printed.",1927,14.0,Transportation
148,"  Observations on the importance of improving the navigation of the river Schuylkill, for the purpose of connecting it with the Susquehanna, and through that river extending our communication to the Genesee Lakes and the Ohio.",1818,14.0,Transportation
149,"  List of shareholders of the Richelieu & Ontario Navigation Co : 20th January, 1883.",1883,14.0,Transportation
150,"  List of shareholders of the Richelieu and Ontario Navigation Company : 9th February, 1880.",1880,15.0,Transportation
151,  Rate of tolls on the Desjardins Canal.,1846,15.0,Transportation
152,"  Manual of packing and loading drill, and other subjects connected with the transport of troops : applicable to field service",1883,15.0,Transportation
154,  Camels in Western America,1930,15.0,Transportation
156,"  On the establishment of a flotilla of steam vessels, of improved construction, on the Indus, in connection with the Scinde and Punjaub Railways.",1857,15.0,Transportation
158,  Defence of the Prisoner Population of Van Diemen's Land.,1847,15.0,Transportation
159,  The progress of locomotion  being two lectures on the advances made in artificial locomotion in Great Britain,1854,15.0,Transportation
160,  Routes in United Provinces district,1922,16.0,Transportation
161,"  Routes in Persia. Vol. 4, pt. 1",1918,16.0,Transportation
162,  Necessity for reducing the tolls.,1881,16.0,Transportation
164,"  Burning Canadian questions : inter-provincial communications, Atlantic ports, development of natural resources, labor and capital, immigration and prohibition",1892,16.0,Transportation
165,  Proposal for a rapid communication with the Pacific and the East via British North America,1852,16.0,Transportation
166,  The harbours of Coteau Landing and Casacades Bay,1874,16.0,Transportation
168,"  The unhappy transport, or, The sufferings of William Dale, son of a farmer and gardener, who was put an apprentice to a tinsmith, near Fleet-Market, where he got into bad company, and in a short time went a robbing, with a desperate gang of thieves, for which he was transported fourteen years to New South Wales. With an account of the dreadful sufferings which he underwent, & his affectionate letter to his parent ...",1820,16.0,Transportation
169,"  Specification of certain excavation and earth work, to be done for the trustees of the Hollington and Hastings turnpike, in the formation of a new road, from near the Side Bar Gate of the Hollington lane to the Priory Bridge, in the parishes of Hollington and St. Leonards, and the parishes of St. Mary Magdalin, the Holy Trinity, St. Michael and St. Leonards, within the liberty of the town and the port of Hastings in the county of Sussex.",1836,16.0,Transportation
170,  Inland transport and the Manchester ship canal.,1886,17.0,Transportation
171,"  Indian river navigation. No. I. Statement of the objects and prospects of Mr. Bourne's design for establishing steam navigation upon the rivers of India, whereby the cotton and other products of the interior will obtain easy transport to the coast, and new markets will be opened in the interior for British manufactures.",1850,17.0,Transportation
173,"  Corrections to Routes in Afghanistan, N.E. 1922",1923,17.0,Transportation
177,"  The employment of the people and the capital of Great Britain in her own colonies : at the same time assisting emigration, colonization and penal arrangements, by undertaking the construction of a great national railway between the Atlantic and the Pacific from Halifax Harbour, Nova Scotia to Frazer's River, New Caledonia.",1849,17.0,Transportation
179,  Report on the plan for the improvement of the harbour of Montreal,1873,17.0,Transportation
181,"  Report on the Montreal, Ottawa and Georgian Bay Canal",1895,18.0,Transportation
182,"  The Colonial advocate, no. 6 : published Sept. 27th, 1824, containing an essay on canals and inland navigation, and the reports to the president and directors of the Welland Canal Company of Messrs. Francis Hall, James, Clowes, and Nathan Roberts, engineers employed to survey a line of canal to connect Lakes Erie and Ontario",1824,18.0,Transportation
183,  St. Clair & Erie ship canal : it will save one-twelfth of the distance between Port Arthur and Port Colborne.,1899,18.0,Transportation
185,  The engineer and the road to the gold fields,1899,18.0,Transportation
186,  From the Great Lakes to the sea,1872,18.0,Transportation
187,"  The Montreal, Ottawa and Georgian Bay navigation, report : of T.C. Clarke, Esq., C.E. submitted to the Legislative Assembly in 1860 : together with a supplementary report by Mr. Clarke on the present aspects of the undertaking.",1900,18.0,Transportation
188,  Transportation problem : memorandum respecting the question of diverting the grain traffic of Manitoba and the North-West through Canadian channels,1899,18.0,Transportation
189,"  European and North American Railway terminus : Sydney, Cape-Breton, the nearest port in British North America to Europe.",1851,18.0,Transportation
190,"  A Memorial from the inhabitants of the district of Gore, and others, to the Honorable the Legislative Council and House of Assembly of Upper Canada : in Provincial Parliament assembled.",18--,19.0,Transportation
191,  Memorandum of association and articles of association.,1859,19.0,Transportation
193,  Across Mesopotamia to India by the Euphrates Valley,1879,19.0,Transportation
194,"  Authorizing reduced freight rates in case of emergency. March 9, 1926. -- Ordered to be printed.",1926,19.0,Transportation
196,"  Acquisition of land for the parkway between Rock Creek Park, the Zoological Park, and Potomac Park. March 11, 1926. -- Ordered to be printed.",1926,19.0,Transportation
197,"  Falls of the Ohio River. Resolutions of the Legislature of Pennsylvania, relating to the construction of a canal around the Falls of the Ohio River at Louisville. April 13, 1852. Referred to the Committee on Roads and Canals, and ordered to be printed.",1852,19.0,Transportation
198,"  Life-boats. Letter from the Secretary of the Treasury in reference to life-boats on the coasts of the United States. May 3, 1852. Referred to the Committee on Commerce.",1852,19.0,Transportation
199,"  Improvement of the harbors on the northern lakes. Resolutions of the Legislature of the State of New York, approving of the memorial addressed to Congress by the Board of Canal Commissioners relative to the improvement of the harbors on the chain of lakes. February 3, 1859. -- Referred to the Committee on Commerce, and ordered to be printed.",1859,19.0,Transportation
203,"  Repeal of Pullman surcharge. June 7 (calendar day, June 8), 1926. -- Ordered to be printed.",1926,20.0,Transportation
204,"  Authorizing reduced freight rates in cases of emergency. March 1, 1927. -- Referred to the House Calendar and ordered to be printed.",1927,20.0,Transportation
205,"  Steam-engines. Memorial of Cadwallader Evans, for an appropriation to enable him to test his invention to prevent the explosion of steam-boilers, &c. January 7, 1839. Referred to the Select Committee on Steam-engines. January 16, 1839. Ordered to be printed.",1839,20.0,Transportation
206,"  Resolutions of the Legislature of Florida, in favor of the placing of buoys to show the channel over Mosquito Bar. February 18, 1851. Referred to the Committee on Commerce, and ordered to be printed.",1851,20.0,Transportation
207,"  Passengers in steamships. (To accompany Bill H.R. No. 510.) Letter from the Secretary of the Treasury, transmitting a dispatch of the United States consul at Aspinwall, relative to the transmission of passengers. June 6, 1864. -- Ordered to be printed.",1864,20.0,Transportation
208,"  Report on matters affecting the American merchant marine. Report on matter affecting the American merchant marine submitted by H.N. Lawrie to the Committee on Legislation of the United States Shipping Board. March 20 (calendar day, March 24), 1926. -- Ordered to be printed with illustrations.",1926,20.0,Transportation
210,"  Pay of carriers for contract air mail service. May 13, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,21.0,Transportation
213,"  Answer to the pamphlet entitled ""The question of the terminus of the branch of the Pacific Railway on the north shore of Lake Superior"", published in the interest of Fort William and Thunder Bay : of some interest to the people of Canada",1874,21.0,Transportation
214,  The Question of the terminus of the branch of the Pacific Railway on north shore of Lake Superior : showing the advantage of Thunder Bay over Nipigon Bay or any other point.,1874,21.0,Transportation
215,"  Copy of correspondence, etc., with Messrs. Temperleys, Carter & Darke respecting the capitation tax charged on the emigrants in 1870.",1870,21.0,Transportation
216,"  A statement relating to the internal commerce of the country, its trade and traffic",1870,21.0,Transportation
217,  Puri pilgrim canal traffic,189-,21.0,Transportation
219,"  To amend section 24 of the Interstate Commerce Act as amended. February 24, 1926. -- Ordered to be printed.",1926,21.0,Transportation
220,"  Roads in Oregon. (To accompany Bill H.R. No. 307.) May 24, 1850.",1850,22.0,Transportation
221,"  Resolutions of the Legislature of the State of Wisconsin, in favor of a donation of land to aid in the construction of a ship canal around the Falls of Niagara. May 10, 1858. -- Referred to the Committee on Public Lands and ordered to be printed.",1858,22.0,Transportation
222,"  Pascagoula River. Memorial of the Legislature of Mississippi, asking an appropriation to remove a sand bar from the mouth of the Pascagoula River. April 13, 1852. Referred to the Committee on Commerce, and ordered to be printed.",1852,22.0,Transportation
225,"  Surveys : Harbor of Edgartown, Merrimack River, &c. Letter from the Secretary of War, transmitting reports of a survey of the flats on the northwest side of the Harbor of Edgartown a survey of the mouth of Merrimack River also, a survey of the Harbor of Hyannis, in the Vineyard Sound, with a map of each: rendered in obedience to a resolution of the House of Representatives of the fourth of last month. February 9, 1827. Read, and referred to the Committee on Commerce.",1827,22.0,Transportation
226,"  Survey -- Neenah or Fox River, &c. Letter from the Secretary of War, transmitting a report and map of the survey of the Neenah or Fox River, in compliance with a resolution of the House of Representatives of the 14th instant. January 19, 1839. Read, and laid upon the table.",1839,22.0,Transportation
228,  Transport and war preparations.,1930,22.0,Transportation
229,  Wrongs and rights of a traveller : by boat - by stage - by rail,1875,22.0,Transportation
230,"  Report of the select committee, to whom was referred the resolution of the 12th of January, on the subject of aiding the State of Indiana in opening a canal to connect the waters of the Wabash River with those of Lake Erie, accompanied by a bill to accomplish that object. February 21, 1825. Read, and, with the bill, committed to a Committee of the Whole House to-morrow.",1825,23.0,Transportation
233,"  In Senate of the United States. July 22, 1846. Submitted, and ordered to be printed and that 4,000 copies in addition to the usual number be printed for the use of the Senate. Mr. Houston made the following report : The Committee on Military Affairs, to whom were referred the resolutions of the Senate directing them to inquire into the necessity and propriety of making early and adequate provision for the survey, improvement, and fortification of the principal harbors on the coast of Texas ...",1846,23.0,Transportation
234,"  Disposition of disputes between carriers and employees. April 5 (calendar day, April 16), 1926. -- Ordered to be printed.",1926,23.0,Transportation
235,"  Thomas Hassam and B.S. Brewster. (To accompany Bill H.R. No. 573.) May 14, 1858.",1858,23.0,Transportation
238,"  Canal -- falls Sault St. Marie. Resolution of the Legislature of Massachusetts, relative to the construction of a ship canal around the falls of Sault Saint Marie, in the State of Michigan. May 5, 1852. Referred to the Committee on Roads and Canals, and ordered to be printed.",1852,23.0,Transportation
239,"  Report of the Committee on Foreign Affairs, to which was referred the message of the President of the United States in relation to the Island of Abaco. January 20, 1825. Read, and, by order of the House, laid upon the table.",1825,23.0,Transportation
243,"  Lands for railroad. Resolution of the Legislature of the State of Arkansas, asking for a grant of land for the construction of a railroad from Fulton to the Missouri line. January 15, 1859. -- Ordered to be printed.",1859,24.0,Transportation
245,"  Improvement of the St. Clair flats. Resolutions of the Legislature of the State of Michigan, relative to an appropriation for the improvement of the St. Clair flats in said state. February 5, 1859. -- Laid upon the table and ordered to be printed.",1859,24.0,Transportation
246,"  Irrawaddy Flotilla Company Limited : routes and sailings, etc.",1922,24.0,Transportation
247,  Report of the Select Committee of the Honourable the Legislative Assembly of the Province of Canada on the petition of the Toronto and Lake Huron Rail Road Company.,1845,24.0,Transportation
250,"  Improved transport facilities in Northern Nigeria. Deputation to the Prime Minister, May 17th, 1906.",1906,25.0,Transportation
251,"  Arakan: its present ""statu quo"" condition, with suggestions for its development and improvement by connection by railway, and also by government with Chittagong and its separation from British Burmah: being reprint of articles from the Arakan news. In continuation of the ""Friend and our railway.""",1878,25.0,Transportation
252,"  Rules and bye-laws for the regulation of the carriage of explosive substances on the River Thames and its tributaries, made under the authority of the Explosives Act, 1875.",1875,25.0,Transportation
254,"  Bombay, Baroda and Central India Railway. Report on line.",1854,25.0,Transportation
256,"  The North-West Transportation, Navigation and Railway Company : its objects",1858,25.0,Transportation
257,  Great Britain one empire : on the union of the dominions of Great Britain by inter-communication with the Pacific and the East via British North America : with suggestions for the profitable colonization of that wealthy territory,1852,25.0,Transportation
259,"  Documents relating to the deepening of the ship channel through Lake St. Peter, &c.",1853,25.0,Transportation
261,"  Guide des voyageurs : le tableau des heures des bâteaux de l'océan, des rivières, chars urbains et ligne d'omnibus = Guide for travellers, time tables of ocean and river steamers, railway street cars and omnibus lines.",1883,26.0,Transportation
262,  Report on conveyance : for European circulation.,1884,26.0,Transportation
263,  A Paradise for anglers and hunters : Grand Trunk Railway and Muskoka Navigation cos. to the picturesque Muskoka lakes.,1895,26.0,Transportation
264,  Where to spend the summer : a description of some of Canada's summer resorts and how to get to them.,1892,26.0,Transportation
265,  Institution of locomotion for steam transport and agriculture.,1833,26.0,Transportation
266,  Society for ameliorating the distress of the country by means of steam transport and agriculture.,1833,26.0,Transportation
267,"  National Institution of Locomotion, for ameliorating the condition of the country, by means of steam transport and agriculture.",1833,26.0,Transportation
268,"  Routes in Afghanistan, North-west ... 1923.",1924,26.0,Transportation
270,"  Correspondence relating to some of the important services rendered to the British Government by Rao Bahadoor Viziarungum Moodliár, as carriage contractor, during the Great Indian Mutiny of 1857.",1876,27.0,Transportation
272,"  Speeches by the Right Hon. Winston S. Churchill, M.P., on the Northern Nigeria Railway.",1907,27.0,Transportation
273,"  Railway labor disputes. February 19, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,27.0,Transportation
274,"  Memorial of the Corporation of the City of Washington, remonstrating against the surrender to the State of Maryland of the stock held by that corporation in the Chesapeake and Ohio Canal. December 28, 1840. Referred to the Committee on Roads and Canals, and ordered to be printed.",1840,27.0,Transportation
275,"  In Senate of the United States. January 13, 1845. Submitted, and ordered to be printed. Mr. Miller made the following report : (To accompany Bill S. 75.) The Committee on the District of Columbia, to whom were referred the resolutions, &c. of the Legislature of the State of Maryland, report ...",1845,27.0,Transportation
277,"  Donation of land for the improvement of the Osage River. Memorial of the Legislature of Missouri relative to a donation of land for the improvement of the Osage River. February 25, 1850. Referred to the Committee on Public Lands, and ordered to be printed.",1850,27.0,Transportation
279,"  Communications from James Blair, of the United States Navy, and John Maginn, President of the Association of Pilots of the City of New York, in relation to the entrance of the Columbia River. August 5, 1846. Ordered to be printed.",1846,27.0,Transportation
282,"  Letter from the Secretary of War to the Chairman of the Committee on Internal Improvements, with the result of the examination of Back Creek, &c. April 26, 1830. Laid on the table by Mr. Barnard, and ordered to be printed.",1830,28.0,Transportation
284,"  In the Senate of the United States. February 20, 1863. -- Ordered to be printed. Mr. Pomeroy submitted the following report. (To accompany Joint Resolution H.R. No. 84.) The Committee on Claims, to whom was referred a joint resolution for the relief of the State of Wisconsin, having considered the same, ask leave to report ...",1863,28.0,Transportation
285,"  To enable the Rock Creek and Potomac Parkway Commission to complete the acquisition of land for the parkway between Rock Creek Park, the Zoological Park, and Potomac Park. February 1 (calendar day, February 8), 1926. -- Ordered to be printed.",1926,28.0,Transportation
287,"  Relief of the owner of the American steamship ""Almirante"". June 24, 1926. -- Committed to the Committee of the Whole House and ordered to be printed.",1926,28.0,Transportation
291,"  Records of judgments rendered against the government by the United States district courts under Navy, War, and Treasury departments. Communication from the President of the United States transmitting records of judgments rendered against the government by the United States district courts, as submitted by the Attorney General ... February 16, 1927. -- Referred to the Committee on Appropriations and ordered to be printed.",1927,29.0,Transportation
297,"  George Calvert. (To accompany Bill H.R. No. 538.) June 20, 1862. -- Ordered to be printed.",1862,29.0,Transportation
299,"  Citizens of Missouri asking land in aid of the construction of a railroad. May 14, 1858.",1858,29.0,Transportation
300,"  Gilbert Stalker. September 16, 1850. Laid upon the table, and ordered to be printed.",1850,30.0,Transportation
301,"  Extending C.O.D. service to first-class mail. February 3, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,30.0,Transportation
302,"  Removal of obstructions in Red River. Resolution of the Legislature of the State of Louisiana, in relation to the removal of obstructions in Red River. February 18, 1843. Read, and laid upon the table.",1843,30.0,Transportation
303,"  Bureau of Animal Industry. June 16 (calendar day, June 17), 1926. -- Ordered to be printed.",1926,30.0,Transportation
305,"  Captain George Simpton, of Galveston. (To accompany Bill H.R. No. 339.) July 23, 1850.",1850,30.0,Transportation
307,"  Illinois and Michigan Canal. Resolutions of the Illinois constitutional convention, in regard to the enlargement of the Illinois and Michigan Canal and the improvement of the Illinois River. April 1, 1862. -- Referred to the Committee on Military Affairs, and ordered to be printed.",1862,30.0,Transportation
308,"  Report of the Secretary of War, communicating, in answer to a resolution of the Senate, estimates for the improvement of certain harbors on Lake Erie. January 11, 1858. -- Referred to the Committe on Commerce. Motion to print referred to the Committee on Printing. January 12, 1858. -- Report in favor of printing submitted, considered, and agreed to.",1858,30.0,Transportation
309,"  Message from the President of the United States, transmitting a report of the Board of Engineers on the Ohio and Mississippi Rivers, made in the year 1821. January 22, 1823. Read, and ordered to lie upon the table.",1823,30.0,Transportation
310,"  John S. Jones and William H. Russell. May 29, 1858.",1858,31.0,Transportation
311,"  In Senate of the United States, May 1, 1826. Mr. Hendricks, from the Select Committee on Roads and Canals, to whom was referred the memorial of the Legislature of the State of Mississippi, praying for an appropriation to aid in opening a passage for vessels over the bar at the east pass of the mouth of Pascagoula River, made thereon the following report ...",1826,31.0,Transportation
312,"  Keepers of life saving station-houses. May 10, 1858. -- Ordered to be printed.",1858,31.0,Transportation
313,"  Resolution of the Legislature of Illinois, in favor of a donation of land for the improvement of the Kaskaskia River. February 24, 1851. Ordered to be printed.",1851,31.0,Transportation
